Gender,Residence,Study_Level,Faculty,Grad_School,Visiting_Faculty_GradSchool,Affiliation_Program,Freq_Taxi,Freq_Ring,Freq_Walking,Freq_Hitchhiking,Freq_PersonalVehicle,Weekday_Ring_Frequency,Weekday_Ring_TimeSlots,Weekday_Schedule_Satisfaction,Weekend_Ring_Frequency,Weekend_Ring_TimeSlots,Weekend_Schedule_Satisfaction,Route_Used_Most,Ring_Purposes,Ring_Reasons,Problem_LateBus,Problem_TooCrowded,Problem_LongWait,Problem_NotMyRoute,Problem_RouteConfusing,Problem_HoursMismatch,Problem_NotClean,Problem_DriverBehavior,Understanding_Routes,Avg_Wait_Time,UseMore_IfFrequent,App_Helping_Ring,MostValuable_Improvement,Overall_Satisfaction,Open_Comments,Department
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Always,Often,Never,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Satisfied,Often (every weekend),"Morning (08:00–11:00), Midday (11:00–15:00)",Dissatisfied,"Yellow (A2 - East), Red (East - A2), Navy Blue (East - East)","To get to East dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance, To get to the library, To get to sports/recreation facilities","Most convenient, It's free, Fastest",Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,3.0,5–10 minutes,Yes,1.0,More frequent buses,3.0,,Statistics
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Sometimes,Always,Sometimes,Never,Haftada 3–4 kez,Morning (08:00–11:00),Unsatisfied,Sometimes (a few times a month),Afternoon (15:00–19:00),Unsatisfied,Orange (West - A2),Reaching my department,Fastest transportation method,Often,Always,Always,Always,Never,Often,Rarely,Sometimes,3.0,11–15 minutes,Yes,5.0,More frequent buses,2.0,,Electrical and Electronics Engineering
Female,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Never,Often,Often,Sometimes,Sometimes,3–4 times a week,"Midday (11:00-15:00), Evening (15:00-19:00)",Neutral,Rarely (once or twice a month),Late (19:00–23:00),Dissatisfied,"Yellow (A2 - East), Red (East - A2)","To get to East dormitory, To get to department","Most convenient, It's free",Rarely,Sometimes,Often,Rarely,Often,Sometimes,Always,Rarely,1.0,5–10 minutes,Yes,2.0,More frequent buses,3.0,Railway alternatives,Statistics
Male,Off-campus (within walking distance),Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Often,Always,Rarely,Never,Haftada 1–2 kez,"Noon (11:00–15:00), Afternoon (15:00–19:00)",Neutral,Nadiren (ayda 1–2 kez),Noon (11:00–15:00),Unsatisfied,Brown (A1 - A1),"Reaching my department, Going to Gate A1","Free, I don't have a personal vehicle",Often,Always,Often,Sometimes,Always,Often,Sometimes,Sometimes,4.0,11–15 minutes,Not sure,4.0,More comfortable buses,3.0,,Statistics
Male,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Education,,,,Rarely,Always,Always,Rarely,Never,More than once a day,"Morning (08:00–11:00), Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,Sometimes (a few times a month),"Morning (08:00–11:00), Late hours (19:00–23:00)",Very Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2), Purple (A1 - A1)","Reaching my department, Going to Gate A1, Going to Gate A2, Going to library, Going to cafeteria","Better for the environment, I don't have a personal vehicle",Rarely,Sometimes,Always,Often,Rarely,Sometimes,Never,Never,3.0,11–15 minutes,Yes,1.0,More frequent buses,3.0,,Computer Education and Instructional Technology (CEIT)
Female,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Sometimes,Often,Sometimes,Sometimes,Haftada 3–4 kez,"Morning (08:00–11:00), Noon (11:00–15:00), Afternoon (15:00–19:00)",Unsatisfied,Never use it,Noon (11:00–15:00),Very Unsatisfied,"Brown (A1 - A1), Red (East - A2)","Reaching my department, Going to Gate A1, Going to Gate A2","Most convenient transportation method, Free, Fastest transportation method, Better for the environment",Often,Often,Sometimes,Often,Often,Often,Often,Often,2.0,11–15 minutes,Yes,1.0,Better real-time tracking,4.0,,Environmental Engineering
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Never,Often,Often,Often,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Satisfied,Often (every weekend),Late (19:00–23:00),Dissatisfied,"Yellow (A2 - East), Red (East - A2), Purple (A1 - A1)","To get to East dormitory, To get to department, To get to A1 Entrance","Most convenient, It's free",Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,5.0,5–10 minutes,Yes,,Extended service hours,4.0,,Mechanical Engineering
Male,Off-campus (farther away),Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Often,Often,Never,Often,Never,,,Often (every weekend),,,,,,,,,,,,,,,,No,,,,,Statistics
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Architecture,,,,Never,Sometimes,Often,Never,Always,1–2 times a week,"Morning (08:00–11:00), Midday (11:00-15:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Dissatisfied,Sometimes (a few times a month),"Midday (11:00–15:00), Evening (15:00–19:00), Late (19:00–23:00)",Very dissatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","To get to East dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance","It's free, Fastest",Always,Often,Always,Always,Often,Always,Never,Never,3.0,11–15 minutes,Yes,1.0,More frequent buses,3.0,,City and Regional Planning
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Never,Sometimes,Always,Never,Never,Very rarely,Morning (08:00–11:00),Neutral,Never,Late (19:00–23:00),Neutral,"Orange (West - A2), Yellow (A2 - East), Red (East - A2)",,Most convenient,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Never,Never,3.0,5–10 minutes,Yes,4.0,Better route coverage,3.0,,Electrical and Electronics Engineering
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Sometimes,Always,Never,Never,Very rarely,Noon (11:00–15:00),Neutral,Nadiren (ayda 1–2 kez),Late hours (19:00–23:00),Neutral,Red (East - A2),"Reaching my department, Going to Gate A1","Most convenient transportation method, Better for the environment",Often,Sometimes,Often,,Rarely,Never,Rarely,Never,3.0,5–10 minutes,Yes,3.0,Daha dakik seferler,3.0,,Statistics
Female,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Rarely,Always,Always,Never,Never,More than once a day,Morning (08:00–11:00),Neutral,Often (every weekend),"Midday (11:00–15:00), Evening (15:00–19:00), Late (19:00–23:00)",Dissatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","To get to West dormitory, To get to department, To get to the library, To get to dining facilities","It's free, Fastest, Better for environment, No private car",Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,3.0,5–10 minutes,Yes,4.0,Better real-time tracking,3.0,,Environmental Engineering
Female,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Never,Often,Often,Never,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Evening (15:00-19:00)",Neutral,Often (every weekend),"Midday (11:00–15:00), Evening (15:00–19:00)",Dissatisfied,"Yellow (A2 - East), Red (East - A2)","To get to East dormitory, To get to department, To get to the library, To get to dining facilities","Most convenient, It's free",Often,,Often,Rarely,Sometimes,Often,Sometimes,Rarely,3.0,11–15 minutes,Yes,3.0,More frequent buses,3.0,,Psychology
Female,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Never,Often,Often,Sometimes,Never,3–4 times a week,"Morning (08:00–11:00), Late evening (19:00-23:00)",Satisfied,Often (every weekend),"Midday (11:00–15:00), Evening (15:00–19:00), Late (19:00–23:00)",Dissatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2), Navy Blue (East - East), Purple (A1 - A1)","To get to West dormitory, To get to East dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance, To get to sports/recreation facilities",Fastest,Rarely,Sometimes,Often,Often,Often,Often,Rarely,Rarely,2.0,5–10 minutes,Yes,3.0,More frequent buses,4.0,,Psychology
Male,Off-campus (farther away),Undergraduate (Bachelor’s),Faculty of Engineering,,,,Never,Always,Always,Always,Never,More than once a day,"Morning (08:00–11:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Satisfied,Sometimes (a few times a month),"Evening (15:00–19:00), Late (19:00–23:00)",Very dissatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2), Purple (A1 - A1)","To get to West dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance","Most convenient, It's free",Often,Always,Often,Often,Rarely,Sometimes,Always,Often,4.0,5–10 minutes,Yes,3.0,Better route coverage,4.0,"A1 rings (brown ring) should go all the way to the west before returning to A1
East ring (east to east) should pass by A1 before returning to east
Ring busses should be more frequent at night and definitely more frequent during the weekends, there is absolutely no reason we should wait a full hour for a ring
Driver behaviour should be taken more seriously. Aggressive drivers and drivers who just refuse to stop or wait for everyone to get on/off need to have consequences for their actions",Metallurgical and Materials Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Often,Often,Never,Never,More than once a day,"Morning (08:00–11:00), Afternoon (15:00–19:00)",Neutral,Often (every weekend),"Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,"Orange (West - A2), Yellow (A2 - East), Navy (East - East)","Going to West Dorms, Going to Gate A1, Going to Gate A2, Going to cafeteria","Most convenient transportation method, Free, I don't have a personal vehicle",Never,Often,Often,Sometimes,Rarely,Sometimes,Never,Never,3.0,16–20 minutes,Yes,4.0,More frequent buses,3.0,,Metallurgical and Materials Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Often,Sometimes,Rarely,Never,More than once a day,Morning (08:00–11:00),Neutral,Often (every weekend),"Morning (08:00–11:00), Late hours (19:00–23:00)",Neutral,"Yellow (A2 - East), Red (East - A2)","Reaching my department, Going to library, Going to cafeteria",Most convenient transportation method,Rarely,Often,Sometimes,Sometimes,Never,Rarely,Never,Never,4.0,11–15 minutes,Yes,3.0,Better route coverage,3.0,,Civil Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Sometimes,Often,Often,Often,Never,More than once a day,"Morning (08:00–11:00), Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Unsatisfied,Often (every weekend),"Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,"Turquoise (West - A2), Yellow (A2 - East), Red (East - A2), Navy (East - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to Gate A1, Going to Gate A2, Going to library, Going to cafeteria","Free, I don't have a personal vehicle",Often,Always,Often,Always,Rarely,Sometimes,Sometimes,Rarely,3.0,16–20 minutes,Yes,2.0,More frequent buses,2.0,,Foreign Languages Education
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Often,Always,Never,Never,3–4 times a week,Morning (08:00–11:00),Neutral,Never,,Neutral,Red (East - A2),To get to department,Fastest,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Never,5.0,Less than 5 minutes,No,,Better real-time tracking,4.0,,Biology
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Sometimes,Often,Rarely,Never,Haftada 3–4 kez,"Morning (08:00–11:00), Late hours (19:00–23:00)",Satisfied,Nadiren (ayda 1–2 kez),"Morning (08:00–11:00), Noon (11:00–15:00)",Unsatisfied,"Brown (A1 - A1), Purple (A1 - A1)","Going to East Dorms, Going to Gate A1","Free, Fastest transportation method",Rarely,Sometimes,Often,Rarely,Never,Never,Never,Never,5.0,5 dakikadan az,Yes,4.0,More frequent buses,3.0,,Civil Engineering
Male,Off-campus (far from campus),Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Never,Often,Always,Rarely,Often,Haftada 3–4 kez,"Morning (08:00–11:00), Noon (11:00–15:00)",Satisfied,Nadiren (ayda 1–2 kez),"Morning (08:00–11:00), Noon (11:00–15:00)",Neutral,Brown (A1 - A1),"Reaching my department, Going to Gate A1, Going to library","Free, Fastest transportation method",Rarely,Rarely,Rarely,Never,Often,Never,Never,Never,4.0,5–10 minutes,Yes,1.0,Daha uzun hizmet saatleri,4.0,,Statistics
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Never,Sometimes,Always,Rarely,Never,1–2 times a week,Morning (08:00–11:00),Neutral,Sometimes (a few times a month),Late (19:00–23:00),Dissatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","To get to A1 Entrance, To get to A2 Entrance, To get to the library",It's free,Often,Rarely,Sometimes,,Often,Always,Never,Never,2.0,5–10 minutes,Yes,2.0,More frequent buses,3.0,,Physics
Female,Off-campus (farther away),Undergraduate (Bachelor’s),Faculty of Architecture,,,,Rarely,Sometimes,Often,Often,Often,1–2 times a week,Midday (11:00-15:00),Neutral,Sometimes (a few times a month),"Midday (11:00–15:00), Evening (15:00–19:00)",Neutral,"Brown (A1 - A1), Navy Blue (East - East)","To get to A1 Entrance, To get to sports/recreation facilities","Most convenient, It's free",Rarely,Always,Always,Sometimes,Always,Sometimes,Never,Never,1.0,11–15 minutes,Not sure,1.0,Better route coverage,3.0,,City and Regional Planning
Female,Off-campus (farther away),Undergraduate (Bachelor’s),Faculty of Engineering,,,,Rarely,Often,Often,Rarely,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Dissatisfied,Often (every weekend),"Morning (08:00–11:00), Evening (15:00–19:00)",Very dissatisfied,"Brown (A1 - A1), Red (East - A2), Purple (A1 - A1)","To get to department, To get to A1 Entrance, To get to A2 Entrance, To get to the library","Most convenient, It's free",Sometimes,Often,Often,Often,Rarely,Often,Rarely,Rarely,4.0,11–15 minutes,Yes,4.0,More frequent buses,3.0,,Environmental Engineering
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Education,,,,Rarely,Always,Sometimes,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Afternoon (15:00–19:00)",Satisfied,Sometimes (a few times a month),,Unsatisfied,"Yellow (A2 - East), Red (East - A2)","Going to East Dorms, Reaching my department, Going to cafeteria","Most convenient transportation method, Free, Fastest transportation method, Better for the environment, I don't have a personal vehicle",Never,Sometimes,Rarely,Sometimes,Never,Rarely,Often,Rarely,2.0,5 dakikadan az,Not sure,4.0,Better real-time tracking,4.0,,Foreign Languages Education
Female,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Sometimes,Always,Never,Never,Very rarely,Late evening (19:00-23:00),Neutral,Sometimes (a few times a month),"Evening (15:00–19:00), Late (19:00–23:00)",,"Yellow (A2 - East), Red (East - A2)","To get to East dormitory, To get to A1 Entrance, To get to A2 Entrance","Most convenient, It's free, Fastest, Better for environment, No private car",Often,Sometimes,Always,Sometimes,Rarely,Rarely,Never,Never,4.0,More than 20 minutes,Yes,3.0,More frequent buses,3.0,Just better real time tracking of the rings in case of any delays and more frequency especially in the weekends,Physics
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Economic and Administrative Sciences,,,,Rarely,Always,Often,Often,Never,More than once a day,"Morning (08:00–11:00), Afternoon (15:00–19:00)",Very Unsatisfied,Often (every weekend),"Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Very Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East), Red (East - A2)","Going to East Dorms, Reaching my department, Going to Gate A1, Going to Gate A2, Going to cafeteria","Most convenient transportation method, Free, Better for the environment, I don't have a personal vehicle",Sometimes,Always,Always,Rarely,Never,Rarely,Often,Rarely,5.0,11–15 minutes,Yes,5.0,More frequent buses,3.0,,Political Science and Public Administration
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Other,,,,Jeoloji mühendisliği ,Rarely,Often,Sometimes,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",,Often (every weekend),"Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Unsatisfied,"Brown (A1 - A1), Orange (West - A2), Yellow (A2 - East), Red (East - A2), Navy (East - East), Purple (A1 - A1)","Going to West Dorms, Going to East Dorms, Reaching my department, Going to Gate A1, Going to library, Going to cafeteria","Most convenient transportation method, Free, Fastest transportation method, Better for the environment",Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,3.0,5–10 minutes,Yes,5.0,Daha uzun hizmet saatleri,4.0,Hafta sonu seferleri yeterli değil ve güzergâh çok kısıtlı. ,
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Often,Always,Often,Never,Haftada 3–4 kez,"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Neutral,Sometimes (a few times a month),"Morning (08:00–11:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Unsatisfied,"Yellow (A2 - East), Red (East - A2), Purple (A1 - A1)","Going to West Dorms, Going to East Dorms, Going to Gate A2","Free, I don't have a personal vehicle",Often,Often,Always,Always,Rarely,Rarely,Never,Never,4.0,11–15 minutes,Yes,5.0,Better route coverage,4.0,,Electrical and Electronics Engineering
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Often,Always,Often,Never,More than once a day,"Morning (08:00–11:00), Late hours (19:00–23:00)",Satisfied,Sometimes (a few times a month),"Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,"Brown (A1 - A1), Red (East - A2), Purple (A1 - A1)","Reaching my department, Going to Gate A1, Going to library","Free, I don't have a personal vehicle",Always,Sometimes,Rarely,Never,Never,Never,Sometimes,Never,5.0,5–10 minutes,Yes,2.0,Better real-time tracking,4.0,,Aerospace Engineering
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Sometimes,Always,Rarely,Never,Very rarely,,Neutral,Sometimes (a few times a month),,Unsatisfied,Red (East - A2),"Reaching my department, Going to Gate A1",Most convenient transportation method,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Never,Never,4.0,11–15 minutes,Yes,1.0,More frequent buses,3.0,Hafta sonu saatleri çok az,Aerospace Engineering
Female,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Always,Always,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Evening (15:00-19:00), Late evening (19:00-23:00)",Satisfied,Often (every weekend),"Midday (11:00–15:00), Evening (15:00–19:00), Late (19:00–23:00)",Very dissatisfied,"Orange (West - A2), Yellow (A2 - East), Red (East - A2), Navy Blue (East - East), Purple (A1 - A1)","To get to West dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance, To get to dining facilities","Most convenient, It's free, No private car",Sometimes,Often,Sometimes,Often,Rarely,Often,Sometimes,Rarely,4.0,5–10 minutes,Yes,4.0,More frequent buses,3.0,Weekend ring schedules are not convenient at all,Biology
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Sometimes,Often,Rarely,Never,Haftada 1–2 kez,"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Satisfied,Sometimes (a few times a month),"Noon (11:00–15:00), Late hours (19:00–23:00)",Very Unsatisfied,"Brown (A1 - A1), Yellow (A2 - East)","Going to East Dorms, Going to Gate A1, Going to Gate A2","Free, Fastest transportation method, I don't have a personal vehicle",Never,Often,Often,Always,Always,Often,Never,Never,3.0,5–10 minutes,Yes,5.0,More frequent buses,3.0,,Industrial Engineering
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Often,Always,Often,Often,Never,More than once a day,"Morning (08:00–11:00), Late hours (19:00–23:00)",Very Unsatisfied,Often (every weekend),"Noon (11:00–15:00), Late hours (19:00–23:00)",Unsatisfied,"Brown (A1 - A1), Orange (West - A2), Yellow (A2 - East), Red (East - A2), Navy (East - East), Purple (A1 - A1)","Going to West Dorms, Reaching my department, Going to Gate A1, Going to Gate A2","Most convenient transportation method, Free, I don't have a personal vehicle",Rarely,Always,Often,Often,Sometimes,Always,Never,Sometimes,3.0,11–15 minutes,Yes,2.0,Better route coverage,2.0,"Batı yurtlarından akşam saatlerinde direkt olarak kapılara ulaşım 17.35 ten sonra 20.30 a kadar mümkün olmuyor, oldukça sıkıntılı oluyor. Seferler daha sık olmalı özellikle batı yurtlarından bölüme olan ringler çok kalabalık oluyor çoğu zaman binemeden diğer ringi beklemek zorunda kalıyoruz, aralarında da oldukça zaman oluyor. Daha kapsayıcı ama hızlı ulaşımı sağlayan bir güzergah olabilir. Akşam ringlerinin teknokenti dolaşması mantıksız.",Molecular Biology and Genetics
Male,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Master’s (Graduate),,Graduate School of Natural and Applied Sciences,,,Rarely,Always,Sometimes,Rarely,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Late evening (19:00-23:00)",Very dissatisfied,Often (every weekend),"Morning (08:00–11:00), Midday (11:00–15:00), Late (19:00–23:00)",Very dissatisfied,"Brown (A1 - A1), Orange (West - A2), Yellow (A2 - East), Purple (A1 - A1)","To get to West dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance","Most convenient, It's free, Fastest, No private car",Rarely,Often,Often,Often,Rarely,Sometimes,Rarely,Often,4.0,16–20 minutes,Yes,2.0,More frequent buses,3.0,,
Other,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Always,Sometimes,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Late hours (19:00–23:00)",Unsatisfied,Often (every weekend),Noon (11:00–15:00),Very Unsatisfied,Yellow (A2 - East),"Going to West Dorms, Reaching my department, Going to Gate A1, Going to library, Going to cafeteria","Most convenient transportation method, Free, Better for the environment",Rarely,Always,Often,Rarely,Never,Rarely,Never,Never,4.0,5–10 minutes,Yes,2.0,Daha uzun hizmet saatleri,3.0,,Statistics
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Often,Sometimes,Always,Never,Never,Haftada 1–2 kez,"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Neutral,Often (every weekend),"Noon (11:00–15:00), Afternoon (15:00–19:00), Late hours (19:00–23:00)",Unsatisfied,"Yellow (A2 - East), Red (East - A2), Navy (East - East)","Going to West Dorms, Going to East Dorms, Going to Gate A1, Going to Gate A2","Most convenient transportation method, Free, I don't have a personal vehicle",Often,Always,Always,Never,Never,Often,Rarely,Sometimes,5.0,11–15 minutes,Yes,2.0,More frequent buses,3.0,,Electrical and Electronics Engineering
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Never,Sometimes,Always,Never,Never,Haftada 1–2 kez,"Morning (08:00–11:00), Noon (11:00–15:00)",Satisfied,Never use it,Late hours (19:00–23:00),Very Unsatisfied,"Orange (West - A2), Yellow (A2 - East)","Going to East Dorms, Reaching my department","Most convenient transportation method, Free, Fastest transportation method",Sometimes,Often,Sometimes,Rarely,Never,Rarely,Never,Never,4.0,16–20 minutes,Yes,5.0,Better real-time tracking,5.0,,Computer Engineering
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Sometimes,Often,Sometimes,Never,Haftada 3–4 kez,"Noon (11:00–15:00), Afternoon (15:00–19:00)",Satisfied,Often (every weekend),"Morning (08:00–11:00), Late hours (19:00–23:00)",Unsatisfied,Brown (A1 - A1),"Going to East Dorms, Going to Gate A1","Most convenient transportation method, Free, Fastest transportation method, I don't have a personal vehicle",Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,4.0,5–10 minutes,Yes,1.0,More frequent buses,3.0,,Mechanical Engineering
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Arts and Sciences,,,,Rarely,Often,Often,Rarely,Never,Once a day,"Morning (08:00–11:00), Late hours (19:00–23:00)",Unsatisfied,Sometimes (a few times a month),"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Unsatisfied,"Red (East - A2), Navy (East - East), Purple (A1 - A1)","Going to East Dorms, Reaching my department, Going to library, Going to sports/recreation facilities","Most convenient transportation method, Fastest transportation method",Sometimes,Often,Sometimes,Often,Sometimes,Often,Rarely,Rarely,2.0,5–10 minutes,Yes,2.0,Better route coverage,3.0,,Statistics
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Rarely,Sometimes,Always,Rarely,Never,Haftada 3–4 kez,Late hours (19:00–23:00),Satisfied,Often (every weekend),"Afternoon (15:00–19:00), Late hours (19:00–23:00)",Neutral,Red (East - A2),"Going to West Dorms, Going to East Dorms","Most convenient transportation method, Free",Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,5.0,5 dakikadan az,No,3.0,Better real-time tracking,4.0,,Metallurgical and Materials Engineering
